,int_rate,dti,fico_avg,annual_inc,loan_amnt,term,revol_util,inq_last_6mths,delinq_2yrs,open_acc,payment_to_income,log_loan_amnt,log_revol_bal,credit_history_age_days,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,application_type_Joint App
4401,11.48,25.51,697.0,12420.0,3725.0,36,69.0,0.0,0.0,6.0,0.009887287657998551,8.223090551161533,8.993675786759681,4413,1,0,0,0,0,0,0,1,0,1,0
380,10.78,19.92,687.0,125000.0,10000.0,36,24.0,0.0,1.0,19.0,0.00261077911376709,9.210440366976515,9.472858470764415,6392,1,0,0,0,0,0,0,0,0,0,0
7404,17.57,33.12,712.0,37000.0,15000.0,60,25.7,1.0,0.0,17.0,0.010199994594740684,9.61587214452889,8.427924723658055,5508,0,0,1,0,0,0,0,1,0,1,0
4967,9.8,19.7,667.0,65000.0,8000.0,36,84.6,0.0,0.0,20.0,0.003959785234073322,8.987321812850123,9.987047145635058,12328,1,0,0,0,0,0,1,0,0,1,0
1280,8.49,17.25,672.0,43000.0,5000.0,36,36.2,1.0,0.0,13.0,0.0036701472058789327,8.517393171418904,8.664232934065552,8553,1,0,0,0,0,0,0,1,1,0,0
207,6.99,14.86,757.0,93000.0,15000.0,36,43.2,1.0,0.0,8.0,0.0049794088235610365,9.61587214452889,9.61012269694885,8096,0,0,0,0,0,0,0,0,0,0,0
9852,5.32,23.39,697.0,82000.0,5000.0,36,35.1,0.0,0.0,27.0,0.001836319069279643,8.517393171418904,9.397649470281177,4292,0,0,0,0,0,0,0,0,1,0,0
8812,5.32,11.74,742.0,130000.0,14000.0,36,35.5,0.0,0.0,10.0,0.0032431288990084693,9.546884034617925,10.033286990070971,7700,0,0,0,0,0,0,0,0,0,0,0
2971,13.99,24.26,692.0,70000.0,5000.0,36,45.8,2.0,0.0,18.0,0.0024409651290695847,8.517393171418904,9.44105518878671,4413,0,1,0,0,0,0,0,1,0,1,0
3400,9.8,13.14,747.0,80000.0,24000.0,60,28.0,2.0,0.0,11.0,0.006344670691616355,10.085850775128717,8.992184362173012,4962,1,0,0,0,0,0,0,0,0,0,0
7519,11.99,7.27,687.0,72000.0,14000.0,36,43.7,1.0,0.0,10.0,0.0064574103137456425,9.546884034617925,9.061144065614055,4597,0,1,0,0,0,0,0,1,0,0,0
